Final URL,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Description 3,cluster,Group,Ad group,Is top row,Clicks,Impr.,CTR,Avg. CPC,Cost
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Quit Smoking,Effortlessly,with ZeroSmokes Magnets,Discover a unique method to stop smoking. ZeroSmokes Magnets - your secret weapon.,"Now offering a buy one, get one free promotion. Make the change today!", --,2,Regenerated Ad (with specific feature additions),Ad group 8 (72774054220971),0,3,271,0.01,1.27,3.81
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Avoid Tobacco,Like The Plague,Or an Ex,You Won't Have to Quit Smoking if You Never Start.,Get The Facts Today., --,2,Original Ad,Ad group 9 (74079675939609),1,1,97,0.01,2.95,2.95
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Choose Health Over Tobacco,Start a Smoke,Free Life Today,Why quit when you can choose not to start? Learn the facts about tobacco and its risks.,Opt for a healthier lifestyle today, --,2,Ad (optimized for high CTR using GPT),Ad group 9 (74079675939609),0,2,196,0.01,1.82,3.63
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Escape the Nicotine Trap Today,Don't Start,Don't Suffer,"Take a stand against the smoking menace. Avoid the start, skip the struggle of quitting.","Act now, arm yourself with the facts.",Your health deserves better,2,Regenerated Ad (with specific feature additions),Ad group 9 (74079675939609),0,0,58,0.00,0,0
https://www.simplehealthkit.com/getpersonal/,Secure Your Health,with Free STD Test Kits,from DoYouPhilly,"Enjoy peace of mind with our reliable, at-home STD test kits.",Order now for free and ensure your well-being today., --,10,Ad (optimized for high CTR using GPT),Ad group 6 (doyouphilly 2),1,17,785,0.02,1.88,31.91
https://www.simplehealthkit.com/getpersonal/,Free,At-Home,Test Kits,DoYouPhilly He looked good last night but get checked for STDs.,Request a free test kit now!, --,10,Original Ad,Ad group 6 (doyouphilly 2),0,3,141,0.02,1.29,3.88
https://www.simplehealthkit.com/getpersonal/,At-Home,STD Test Kits,by DoYouPhilly,"Stay in control of your sexual health with our discreet, reliable STD test kits.",Order now for accurate results and peace of mind.,"No need for appointments, our kits are delivered straight to your door.",10,Regenerated Ad (with specific feature additions),Ad group 6 (doyouphilly 2),0,4,228,0.02,1.66,6.62
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Comprehensive Online,Hearing Tests,Assess Your Hearing Accuracy,Discover our thorough hearing tests.,"Conducted online, they provide a detailed assessment of your hearing capacity.",Upgrade your hearing health today.,10,Regenerated Ad (with specific feature additions),Ad group 16 (83769067071215),1,6,163,0.04,1.2,7.22
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Free Online,Hearing Tests,Test For Hearing Loss Today,Test Your Hearing At Home,Take An Online Test Today., --,10,Original Ad,Ad group 16 (83769067071215),0,4,111,0.04,1.74,6.97
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Get Free,Hearing Assessments Online,Check Hearing Health Now,Secure & Accurate Online Hearing Checks. Evaluate Your Hearing From Comfort of Home Today.,"Don't Delay, Get Tested Now", --,10,Ad (optimized for high CTR using GPT),Ad group 16 (83769067071215),0,6,176,0.03,1.99,11.93
https://www.simplehealthkit.com/getpersonal/,Stay Safe,Stay Healthy with DoYouPhilly,Free Test Kits Available!,"No matter your identity or tribe, health is universal.",Ensure your wellbeing with DoYouPhilly.,Request your complimentary testing kit today!,10,Ad (optimized for high CTR using GPT),Ad group 17 (doyouphilly 3),1,13,395,0.03,1.66,21.54
https://www.simplehealthkit.com/getpersonal/,Bear,Twink,Discrete,"DoYouPhilly No matter what tribe you belong to, get tested.",Request a free test kit now!, --,10,Original Ad,Ad group 17 (doyouphilly 3),0,17,536,0.03,1.47,25.01
https://www.simplehealthkit.com/getpersonal/,Embrace,Your Tribe,DoYouPhilly,"No matter your tribe, testing is vital.","With DoYouPhilly, easily request your confidential test kit.",Understand your health better with us.,10,Regenerated Ad (with specific feature additions),Ad group 17 (doyouphilly 3),0,5,167,0.03,1.07,5.37
https://sellyourteststrips.com/,Sell Your Test Strips,Highest Payouts,by Industry Veterans,Gain maximum returns by selling your test strips to us.,"With experience since 2008, we ensure top payouts.","We specialize in buying strips, prioritizing your satisfaction.",10,Regenerated Ad (with specific feature additions),Ad group 18 (79989513849925),1,32,"1,071",0.03,1.29,41.36
https://sellyourteststrips.com/,Maximize Earnings,on Your Test Strips,Free Online Calculator!,Secure top dollar for your test strips with our quick payout assurance.,"Experience our reliable service, trusted since 2008.",Try our free calculator now!,10,Ad (optimized for high CTR using GPT),Ad group 18 (79989513849925),0,26,887,0.03,1.89,49.18
https://sellyourteststrips.com/,Want to Sell,Your Test Strips?,Try Our Free Online Calculator,We Offer the Highest Payouts and 1-Day Pay Guarantee.,Buying Strips Since 2008!, --,10,Original Ad,Ad group 18 (79989513849925),0,30,"1,092",0.03,1.51,45.18
